1	1	29810.00 4174.00 20729.00 7211.00 18.44
2	1	6648.00	978.00	4353.00	1799.00	21.40
3	1	5956.00	993.00	4076.00	1563.00	18.73
4	1	6371.00	1429.00	4550.00	1593.00	18.27
5	1	4016.00	499.00	2679.00	967.00	18.84
6	1	5594.00	1103.00	3769.00	1531.00	20.51
7	1	2294.00	502.00	1763.00	726.00	22.62
8	1	4657.00	601.00	3123.00	1431.00	24.57
9	1	3171.00	531.00	2201.00	885.00	21.38
10	1	2542.00	583.00	1812.00	837.00	25.93
11	1	1998.00	308.00	1411.00	479.00	17.76
12	1	1266.00	228.00	949.00	381.00	21.11
1	2	31087.00 5740.00 21109.00 7942.00 19.58
2	2	7485.00	1250.00	4361.00	2057.00	23.00
3	2	6098.00	1262.00	3994.00	1648.00	20.00
4	2	6692.00	1478.00	4425.00	1748.00	18.83
5	2	4306.00	825.00	2809.00	1018.00	18.01
6	2	5928.00	1642.00	3892.00	1649.00	20.32
7	2	2532.00	525.00	1712.00	755.00	23.35
8	2	5073.00	554.00	3176.00	1527.00	25.23
9	2	3486.00	520.00	2264.00	947.00	22.41
10	2	2793.00	609.00	1911.00	867.00	24.83
11	2	2082.00	360.00	1405.00	516.00	18.44
12	2	1284.00	307.00	898.00	413.00	23.96
1	3	30460.00 7612.00 19274.00 9245.00 22.61
2	3	7780.00	1867.00	4155.00	2371.00	25.35
3	3	6147.00	1719.00	3575.00	1805.00	23.28
4	3	7063.00	2016.00	4325.00	1897.00	20.47
5	3	4516.00	831.00	2780.00	1085.00	18.66
6	3	5796.00	1792.00	3594.00	1752.00	21.93
7	3	2667.00	747.00	1550.00	1062.00	33.03
8	3	5064.00	964.00	2942.00	1558.00	26.30
9	3	3754.00	741.00	2155.00	1015.00	23.77
10	3	3096.00	625.00	1902.00	1021.00	24.07
11	3	2199.00	470.00	1432.00	560.00	18.64
12	3	1279.00	256.00	785.00	600.00	34.68
1	4	32428.00 7120.00 18483.00 10074.00 24.19
2	4	8460.00	1676.00	4453.00	3278.00	31.35
3	4	6431.00	1313.00	3452.00	1980.00	25.41
4	4	7572.00	1544.00	4422.00	2109.00	21.13
5	4	4970.00	766.00	2905.00	1257.00	19.37
6	4	6032.00	1156.00	3795.00	1932.00	22.06
7	4	2871.00	569.00	1567.00	914.00	25.69
8	4	5205.00	920.00	2830.00	1686.00	28.29
9	4	3951.00	800.00	2096.00	1159.00	25.92
10	4	3549.00	516.00	2140.00	1085.00	26.64
11	4	2368.00	385.00	1486.00	720.00	23.28
12	4	1249.00	256.00	676.00	571.00	36.66
1	5	35980.00	7435.00	20390.00	11725.00	25.29
2	5	9584.00	1274.00	4917.00	3023.00	26.64
3	5	7050.00	1127.00	3875.00	2385.00	24.34
4	5	8712.00	1316.00	5130.00	2347.00	20.27
5	5	5864.00	494.00	3489.00	1402.00	17.72
6	5	7029.00	1184.00	4397.00	2115.00	20.40
7	5	3365.00	463.00	1854.00	1080.00	26.36
8	5	5386.00	531.00	3006.00	1716.00	27.02
9	5	4406.00	541.00	2339.00	1262.00	24.82
10	5	4355.00	374.00	2789.00	1177.00	22.19
11	5	2474.00	52.00	1503.00	659.00	19.64
12	5	1300.00	120.00	669.00	483.00	31.39
1	6	37242.00	6765.00	22184.00	11824.00	23.33
2	6	11236.00	1730.00	6023.00	3326.00	25.16
3	6	9004.00	1382.00	5427.00	2544.00	20.63
4	6	11365.00	1451.00	7338.00	2565.00	16.25
5	6	7382.00	687.00	4592.00	1476.00	14.40
6	6	8936.00	1563.00	5496.00	2608.00	19.92
7	6	4195.00	823.00	2413.00	1247.00	24.01
8	6	6234.00	476.00	3760.00	1684.00	21.59
9	6	5832.00	387.00	3271.00	1388.00	19.98
10	6	5210.00	550.00	3623.00	1193.00	17.30
11	6	2722.00	265.00	1628.00	746.00	19.55
12	6	1727.00	228.00	960.00	523.00	25.43
1	7	48950.31	8694.93	31929.08	12608.61	17.48
2	7	14265.02	1997.56	8730.86	3525.48	20.08
3	7	11813.48	2051.04	7901.67	3034.29	17.41
4	7	14200.74	2212.87	10662.94	2791.29	12.35
5	7	9215.00	1320.00	6360.95	1592.99	10.63
6	7	12355.22	2116.93	8125.95	2644.99	15.38
7	7	5212.98	1005.69	3159.08	1400.29	21.22
8	7	7884.26	902.35	5772.47	1745.83	16.15
9	7	7738.77	1037.10	5288.79	1485.29	14.02
10	7	6508.56	772.13	5020.81	1305.93	14.14
11	7	3440.47	380.29	2311.79	836.34	15.42
12	7	2219.00	318.00	1433.49	560.78	21.09
1	8	63788.43	12690.79	42915.29	15648.70	16.64
2	8	19127.00	3065.00	12295.30	4206.20	17.72
3	8	15091.58	2757.66	9968.17	3576.06	17.34
